team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
41,22500,2020-08-04,11:30,원주 태장공원 야구장,여주대,12,제주국제대,9
41,22504,2020-08-06,14:00,원주 태장공원 야구장,제주관광대,9,여주대,10
41,22318,2020-07-09,11:30,고려대학교 송추야구장,연세대,9,한양대,3
41,22486,2020-08-04,11:30,구의 야구공원,한양대,0,연세대,9
41,23244,2020-09-24,16:30,군산월명야구장,연세대,2,한일장신대,3
41,23296,2020-10-27,11:30,횡성 베이스볼 테마파크 제2구장,한려대,1,연세대,24
41,22400,2020-07-18,14:00,보은스포츠파크 야구장,호원대,3,영남대,12
41,23286,2020-10-26,16:30,횡성 베이스볼 테마파크 제1구장,영남대,0,인하대,0
41,23343,2020-10-28,09:00,횡성 베이스볼 테마파크 제1구장,영남대,4,한양대,5
41,22361,2020-07-01,09:00,군산월명야구장,원광대,1,한일장신대,0
41,22368,2020-07-08,11:30,군산월명야구장,원광대,17,한려대,1
41,22372,2020-07-09,14:00,군산월명야구장,원광대,15,호원대,4
41,22390,2020-07-16,09:00,보은스포츠파크 야구장,제주국제대,0,원광대,1
41,22456,2020-07-31,11:30,함평 전남야구장,한려대,2,원광대,18
41,22518,2020-08-04,14:00,함평 전남야구장,호원대,1,원광대,8
41,22449,2020-08-13,09:00,함평 전남야구장,한일장신대,4,원광대,3
41,23368,2020-11-02,10:00,횡성 베이스볼 테마파크 제1구장,원광대,18,한양대,0
41,22377,2020-07-01,14:00,보은스포츠파크 야구장,한국골프대,1,유원대,8
41,22430,2020-08-12,14:00,대구시민운동장 야구장,유원대,5,한국골프대,1
41,22329,2020-07-09,11:30,천안 독립야구장,인하대,3,홍익대,5
41,22494,2020-08-04,11:30,천안 독립야구장,홍익대,7,인하대,8
41,23230,2020-09-22,14:00,군산월명야구장,한일장신대,3,인하대,1
41,22340,2020-07-08,09:00,원주 태장공원 야구장,제주국제대,11,제주관광대,7
41,22343,2020-07-09,09:00,원주 태장공원 야구장,중앙대,23,제주관광대,9
41,22467,2020-07-31,09:00,원주 태장공원 야구장,제주관광대,5,제주국제대,3
41,22499,2020-08-04,09:00,원주 태장공원 야구장,제주관광대,4,중앙대,6
41,23283,2020-10-26,09:00,횡성 베이스볼 테마파크 제1구장,중앙대,15,제주관광대,7
41,22338,2020-07-02,11:30,원주 태장공원 야구장,제주국제대,5,중앙대,8
41,22465,2020-07-30,11:30,원주 태장공원 야구장,중앙대,7,제주국제대,3
41,22387,2020-07-15,11:30,보은스포츠파크 야구장,중앙대,4,한일장신대,7
41,23248,2020-09-25,12:30,군산월명야구장,중앙대,4,한일장신대,8
41,22393,2020-07-16,17:00,보은스포츠파크 야구장,한려대,7,한국골프대,5
41,22364,2020-07-02,09:00,군산월명야구장,한려대,2,호원대,5
41,22371,2020-07-09,11:30,군산월명야구장,한일장신대,10,한려대,3
41,22452,2020-07-30,09:00,함평 전남야구장,호원대,14,한려대,8
41,22517,2020-08-04,11:30,함평 전남야구장,한려대,1,한일장신대,7
41,23366,2020-11-01,10:00,횡성 베이스볼 테마파크 제1구장,한양대,11,한일장신대,3
41,22374,2020-07-10,11:30,군산월명야구장,호원대,2,한일장신대,9
41,22520,2020-08-05,11:30,함평 전남야구장,한일장신대,8,호원대,1
41,23355,2020-10-29,10:00,횡성 베이스볼 테마파크 제1구장,한일장신대,10,홍익대,4
